brand,name,rating,ingredients,link
Belif,The-True-Cream-Aqua-Bomb,3.8,"Aqua, dipropylene glycol, methyl trimethicone, glycerine, alcohol denat. sd alcohol 40-b, dimethicone, peg/ppg/polybutylene glycol-8/5/3 glycerin, cyclomethicone dimethiconol, polymethylsilsesquioxane, caprylic/capric triglyceride, pentaerythrityl tetraethylhexanoate, sodium acrylate/ acryloyldimethyltaurate/ dimethylacrylamide crosspolymer, isohexadecane, polysorbate 60, malakite extract, phenyl trimethicone, pentaerythrityl tetraisostearate, 1,2- hexanediol, panthenol, peg-150, carbomer, tromethamine, peg-40 hydrogenated castor oil, acrylates/c10-30 alkyl acrylate crosspolymer, avena sativa kernel extract, calendula officinalis flower extract, nepeta cataria extract, rubus idaeus leaf extract, baptisia tinctoria root extract, stellaria media extract, alchemilla vulgaris leaf extract, equisetum arvense leaf extract, urtica dioica leaf extract, plantago lanceolata leaf extract, hydrogenated polydecene, hydrogenated lecithin, stearic acid, c12-c20 alkyl glucoside, c14-c22 alcohols, glyceryl stearate, peg-100 stearate, cholesteryl hydroxystearate, cholesterol, ceramide- 3,triethanolamine, trisodium edta, citrus aurantium dulcis oil,citrus aurantifolia peel oil expressed, rosmarinus officinalis leaf oil, geranium maculatum oil, citronnellol, limonene, citral, geraniol, linalool.",https://www.makeupalley.com/product/showreview.asp/ItemId=163277/The-True-Cream-Aqua-Bomb/Belif/Moisturizers
Neutrogena,Hydro-Boost-Gel-Cream-Extra-Dry-Skin,3.1,"Water, Dimethicone, Glycerin, Cetearyl Olivate, Polyacrylamide, Sorbitan Olivate, Phenoxyethanol, Dimethicone/Vinyl Dimethicone Crosspolymer, Synthetic Beeswax, C13-14 Isoparaffin, Dimethiconol, Dimethicone Crosspolymer, Chlorphenesin, Laureth-7, Carbomer, Sodium Hyaluronate, Ethylhexylglycerin, C12-14 Pareth -12, Sodium Hydroxide.",https://www.makeupalley.com/product/showreview.asp/ItemId=177766/Hydro-Boost-Gel-Cream-Extra-Dry-Skin/Neutrogena/Moisturizers
Glow-Recipe,Watermelon-Glow-Pink-Juice-Moisturizer,3.8,"White soft Paraffin BP 14.5% w/w, Light Liquid Paraffin Ph Eur 12.6% w/w, Hypoallergenic Anhydrous Lanolin (Medilan) 1.0% w/w, Glyceril, Monostearate, Citric Acid Monohydrate, Cetyl Alcohol, Sodium Hydroxide, Sodium Cetostearyl Sulphate, Carbomer, Methyl Hydrobenzoate, Propyl Hydroxybenzoate, Purified Water",https://www.makeupalley.com/product/showreview.asp/ItemId=210162/Watermelon-Glow-Pink-Juice-Moisturizer/Glow-Recipe/Face-Moisturizer
Unlisted-Brand,E45-Dermatological-Treatment-Cream,4.3,"AQUA (WATER),GLYCERIN,ETHYLHEXYL ISONONANOATE,BUTYLENE GLYCOL,PENTYLENE GLYCOL PROPANEDIOL,CAPRYLYL METHICONE,ISOSTEARYL ISOSTEARATE,DIMETHICONE,BEHENYL ALCOHOL NYLON-6/12,STEARETH-2,XANTHAN GUM,PRUNUS DOMESTICA SEED OIL,ROSA DAMASCENA FLOWER WATER,ALGIN,ANGELICA KEISKEI EXTRACT,ACACIA SENEGAL GUM,CUCUMIS SATIVUS (CUCUMBER) FRUIT EXTRACT,ROSA DAMASCENA FLOWER OIL,SODIUM HYALURONATE,TOCOPHERYL ACETATE AMMONIUM ACRYLOYLDIMETHYLTAURATE/VP COPOLYMER,STEARETH-21,POLYACRYLAMIDE C13-14 ISOPARAFFIN,ACRYLATES/C10-30 ALKYL ACRYLATE CROSSPOLYMER,TROMETHAMINE DIMETHICONOL,LAURETH-7,TETRASODIUM EDTA,CAPRYLIC/CAPRIC TRIGLYCERIDE,BHT CARAMEL,SERINE,PARFUM (FRAGRANCE),PHENOXYETHANOL,CITRONELLOL,GERANIOL.",https://www.makeupalley.com/product/showreview.asp/ItemId=90572/E45-Dermatological-Treatment-Cream/Unlisted-Brand/Moisturizers
Eucerin,Q10-Anti-Wrinkle-Face-Creme,4.2,"Nov 2019: Water, glycerin, ethylhexyl cocoate, hydrogenated coco-glycerides, stearyl alcohol, butylene glycol, cetyl alcohol, caprylic/capric triglyceride, butyrospermum parkii (shea) butter, glyceryl stearate citrate, octyldodecanol, tocopheryl acetate, ubiquinone, biotin, biosaccharide gum-1, sodium ascorbyl phosphate, zea mays (corn) oil, beta-carotene, tocopherol, 1,2-hexanediol, carbomer, sodium hydroxide, trisodium EDTA, dehydroacetic acid, phenoxyethanol.",https://www.makeupalley.com/product/showreview.asp/ItemId=104854/Q10-Anti-Wrinkle-Face-Creme/Eucerin/Moisturizers
Fresh,ROSE-Deep-Hydration-Face-Cream,4.0,"Active Ingredients: Titanium Dioxide 5.25; Zinc Oxide 6.12. Inactive Ingredients: Water, C12-15 Alkyl Benzoate (emollient), Glycerin (skin-replenishing), Isononyl Isononanoate (emollient), Butylene Glycol (texture enhancer), Cetearyl Alcohol (emollient/texture enhancer), Potassium Cetyl Phosphate (emulsifier), Dimethicone (hydration), Glyceryl Stearate (texture enhancer), Glycyrrhiza Glabra (Licorice) Root Extract (skin-soothing), Actinidia Chinensis (Kiwi) Fruit Extract (antioxidant), Argania Spinosa (Argan) Kernel Oil (non-fragrant antioxidant plant oil), Tetrapeptide-30, Linoleic Acid (skin-restoring agents), Resveratrol (antioxidant), Ascorbyl Glucoside (vitamin C/antioxidant), Niacinamide (skin-restoring), Tocopheryl Acetate (vitamin E/antioxidant), Magnesium Ascorbyl Phosphate (vitamin C/antioxidant), Bisabolol (skin-soothing), Tocopherol (vitamin E/antioxidant), Phospholipids, Lecithin (skin-restoring agents), Glycine Soja (Soybean) Sterols (antioxidant/hydration), Xanthophylls (antioxidant), Pullulan (texture enhancer), Sodium Gluconate (hydration), Xanthan Gum, Sclerotium Gum, Alumina (texture enhancers), Caprylic/Capric Triglyceride (skin-replenishing), Citric Acid (pH adjuster), Triethoxycaprylylsilane (texture enhancer), C13-14 Isoparaffin (solvent), Acrylates Copolymer (film-forming agent), Polyhydroxystearic Acid (dispersing agent), Caprylyl Glycol (hydration), Polyacrylamide (film-forming agent), Ceteareth-20, Aluminum Stearate (texture enhancers), Laureth-7 (emulsifier), Ethylhexylglycerin, Phenoxyethanol (preservatives).",https://www.makeupalley.com/product/showreview.asp/ItemId=187199/ROSE-Deep-Hydration-Face-Cream/Fresh/Moisturizers
Elizabeth-Arden,Eight-Hour-Cream---Intensive-Daily-Moisturizer-for-Face-SPF-15,4.1,Glycerin,https://www.makeupalley.com/product/showreview.asp/ItemId=126554/Eight-Hour-Cream---Intensive-Daily-Moisturizer-for-Face-SPF-15/Elizabeth-Arden/Moisturizers
Weleda,Skin-Food,4.2,"Water (Aqua), Helianthus Annuus (Sunflower) Seed Oil, Lanolin, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Beeswax (Cera Alba), Alcohol, Polyglyceryl-3 Polyricinoleate, Glycerin, Limonene, Viola Tricolor Extract, Hydrolyzed Beeswax, Sorbitan Olivate, Rosmarinus Officinalis (Rosemary) Leaf Extract, Chamomilla Recutita (Matricaria) Flower Extract, Calendula Officinalis Flower Extract, Arginine, Zinc Sulfate, Fragrance (Parfum)*, Linalool*, Geraniol*, Citral*, Coumarin*  * From natural essential oils",https://www.makeupalley.com/product/showreview.asp/ItemId=3845/Skin-Food/Weleda/Moisturizers
Kiehls,Ultra-Facial-Oil-Free-Gel-Cream,2.9,"Water, Glycerin, Alcohol Denat., Propanediol, Glycereth-26, Isononyl Isononanoate, Ammonium Polyacryldimethyltauramide/Ammonium Polyacryloyldimethyl Taurate, Imperata Cylindrica Root Extract, Phenoxyethanol, Sodium Benzoate, Propylene Glycol, Potassium Sorbate, Sodium Hyaluronate, Pseufoalteromonas Ferment Extract,, Citric Acid, Caprylyl Glycol, Carbomer, Biosaccharide Gum-1, Panthenol, Cucumber Fruit Extract, Acrylates/C10-30 Alkyl Acrylate Crosspolymer ",https://www.makeupalley.com/product/showreview.asp/ItemId=146616/Ultra-Facial-Oil-Free-Gel-Cream/Kiehls/Moisturizers
No-Brand-(DIY-or-homemade),Glycerin,3.7,"Water, Glycerin, Squalane, Butyrospermum Parkii, Cetearyl Alcohol, Pentylene Glycol, Canola Oil, Methyl Methacrylate Crosspolmer, Peg-8 Beeswax, Beheneth-25, Cetyl Alcohol, Cetearyl Glucoside, Phytosteryl Canola Glycerides, Amonium Acryloyldimethytaurate/Vp Copolymer, Palmitic Acid, Hydrogenated Lecithin, Dimethicone, Butylene Gylcol, Sodium Methylparaben, Xanthan Gum, Centella Asiatica Extract, Hesperidin Methyl Chalcone, O-Cymen-5-Ol, Vanilla Planifolia Fruit Oil, Steareth-20, Tetrasodium Edta, Citric Acid, Chlorhexidine Digluconate, Glycyrrhiza Glabra (Licorice) Root Extract, Dipeptide-2, Potassium Sorbate, Palmitoyl, Tetrapeptide-3, Ascorbyl Palmitate, Biotin ",https://www.makeupalley.com/product/showreview.asp/ItemId=89252/Glycerin/No-Brand-(DIY-or-homemade)/Moisturizers
CHANEL,SUBLIMAGE-Essential-Regenerating-Cream-Texture-Universelle,3.4,"Moisture Surge 72-Hour Auto-Replenishing Hydrator Ingredients: Water\Aqua\Eau, Dimethicone, Butylene Glycol, Glycerin, Trisiloxane, Trehalose, Sucrose, Ammonium Acryloyldimethyltaurate/VP Copolymer, Hydroxyethyl Urea, Camellia Sinensis (Green Tea) Leaf Extract, Silybum Marianum (Lady's Thistle) Extract, Betula Alba (Birch) Bark Extract, Saccharomyces Lysate Extract, Aloe Barbadensis Leaf Water, Thermus Thermophillus Ferment, Caffeine, Sorbitol, Palmitoyl Hexapeptide-12, Sodium Hyaluronate, Caprylyl Glycol, Oleth-10, Sodium Polyaspartate, Saccharide Isomerate, Hydrogenated Lecithin, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Glyceryl Polymethacrylate, Tromethamine, PEG-8, Hexylene Glycol, Magnesium Ascorbyl Phosphate, Disodium EDTA, BHT, Phenoxyethanol, Red 4 (CI 14700), Yellow 5 (CI 19140) <Iln44001>",https://www.makeupalley.com/product/showreview.asp/ItemId=119715/SUBLIMAGE-Essential-Regenerating-Cream-Texture-Universelle/CHANEL/Moisturizers
CLINIQUE,Moisture-Surge-72-Hour-Auto-Replenishing-Hydrator,2.7,"Updated (3/22/2018):  Water, Dimethicone, Glycerin, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethaqnol, Polyacrylamide, Cetearyl Olivate, Sorbitan Olivate, Dimethiconol, C13-14 Isoparaffin, Dimethicone Crosspolymer, Chlorphenesin, Carbomer, Laureth-7, Sodium Hyaluronate, Ethylhexylglycerin, Fragrance, C12-14 Pareth -12, Sodium Hydroxide, Blue 1",https://www.makeupalley.com/product/showreview.asp/ItemId=197113/Moisture-Surge-72-Hour-Auto-Replenishing-Hydrator/CLINIQUE/Moisturizers
Eucerin,Dry-Skin-Smoothing-Face-Creme-Day-5-Urea,4.2,"Aqua/Water/Eau, Urea/UrÃ©e, Glycerin, Caprylic/Capric Triglyceride, Dimethicone, Pentaerythrityl Tetraisostearate, Triisostearin, Cetyl Alcohol, Sodium Lactate, Glyceryl Stearate, Biosaccharide Gum-1, Lactic Acid, Phenoxyethanol, Arginine HCL, Potassium Cetyl Phosphate, Xanthan Gum, 1,2-Hexanediol ----------------------------------------------------------------------------------------old ingredients: Water, Urea, Glycerin, Caprylic/Capric Triglyceride, Cyclomethicone, Dimethicone, Pentaerythrityl Tetraisostearate, Triisostearin, Cetyl Alcohol, Sodium Lactate, Glyceryl Stearate, Benzyl Alcohol, PEG-40 Stearate, Biosaccharide Gum-1, Methylparaben, Lactic Acid, Lanolin Alcohol, Phenoxyethanol. [8/9/15]",https://www.makeupalley.com/product/showreview.asp/ItemId=160005/Dry-Skin-Smoothing-Face-Creme-Day-5-Urea/Eucerin/Moisturizers
Neutrogena,Hydro-Boost-Water-Gel,3.2,Squalane.,https://www.makeupalley.com/product/showreview.asp/ItemId=142994/Hydro-Boost-Water-Gel/Neutrogena/Moisturizers
CLINIQUE,Dramatically-Different-Hydrating-Jelly,3.3,"Ingredients: Water\Aqua\Eau, Bis-Peg-18 Methyl Ether Dimethyl Silane, Butylene Glycol, Glycerin, Cucumis Sativus (Cucumber) Fruit Extract, Hypnea Musciformis (Algae) Extract, Gelidiella Acerosa Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Padina Pavonica Thallus Extract, Helianthus Annuus (Sunflower) Seedcake, Sucrose, Caffeine, Sodium Hyaluronate, Hydroxyethyl Urea, Hydrolyzed Rice Extract, Sorbitol, Sodium Polyaspartate, Ppg-6-Decyltetradeceth-30, Ethylhexylglycerin, Propylene Glycol Dicaprate, Caprylyl Glycol, Trehalose, Polysorbate 80, Carbomer, Sodium Hydroxide, Hexylene Glycol, Citric Acid, Sodium Citrate, Disodium Edta, Phenoxyethanol",https://www.makeupalley.com/product/showreview.asp/ItemId=199722/Dramatically-Different-Hydrating-Jelly/CLINIQUE/Moisturizers
Deciem,The-Ordinary-100-Plant-Derived-Squalane,3.7,Water â€¢ Glycerin â€¢ Ethylhexyl Palmitate â€¢ Fructooligosaccharides â€¢ Zinc Oxide â€¢ Octyldodecanol â€¢ Butylene Glycol â€¢ Polyacrylamide â€¢ Mannitol â€¢ Xylitol â€¢ Rhamnose â€¢ Laminaria Ochroleuca Extract â€¢ Copper Sulfate â€¢ Zinc Sulfate â€¢ Sodium Hyaluronate â€¢ Vitis Vinifera (Grape) Vine Extract â€¢ Asiaticoside â€¢ Asiatic Acid â€¢ Madecassic Acid â€¢ C13-14 Isoparaffin â€¢ Octyldodecyl Xyloside â€¢ PEG-30 Dipolyhydroxystearate â€¢ Caprylic/Capric Triglyceride â€¢ Laureth-7 â€¢ Laureth-3 â€¢ Hydroxyethylcellulose â€¢ Acetyl Dipeptide-1 Cetyl Ester,https://www.makeupalley.com/product/showreview.asp/ItemId=194052/The-Ordinary-100-Plant-Derived-Squalane/Deciem/Moisturizers
BIODERMA,Cicabio-Creme,4.5,"purified water, white petrolatum, sorbitol solution, cetearyl alcohol, propylene glycol, ceteareth-20, simethicone, glyceryl monostearate, polyethylene glycol monostearate, sorbic acid and BHT",https://www.makeupalley.com/product/showreview.asp/ItemId=143078/Cicabio-Creme/BIODERMA/Skincare---Face
Vanicream,Moisturizing-Skin-Cream,3.9,"Water, Mineral Oil, Propylene Glycol, PEG 100 Stearate, Glyceryl Stearate, Stearic Acid, Phenoxyethanol, Safflower Seed OiI, Triethanolamine, Carbomer, Dimethicone, Cetyl Alcohol, Disodium EDTA, Fragrance (Parfum), Ethylhexl Glycerin, Linalool, Hexylcinnamal, Hydrolyzed Elastin, Hydrolyzed Collagen, Coumarin, Geraniol",https://www.makeupalley.com/product/showreview.asp/ItemId=86350/Moisturizing-Skin-Cream/Vanicream/Moisturizers
St.-Ives,Timeless-Skin-Collagen-Elastin-Facial-Moisturizer,4.0,"Aqua, Glycerin, Coco-Caprylate/Caprate, Polyglyceryl-3 Methylglucose Distearate, Ethylhexyl Methoxycinnamate, Stearyl Alcohol, Butyl Methoxydibenzoylmethane, Stearic Acid, Panthenol, Polyacrylamide, C13-14 Isoparaffin, Methylparaben, 4-Methylbenzylidene Camphor, Bisabolol, Pentylene Glycol, Sodium Hydroxymethylglycinate, Laureth-7, Disodium EDTA, Propylparaben, Lactic Acid, Sodium Lactate, Serine, Sorbitol, Urea, Citric Acid, Sodium Chloride, BHT, Allantoin",https://www.makeupalley.com/product/showreview.asp/ItemId=140556/Timeless-Skin-Collagen-Elastin-Facial-Moisturizer/St.-Ives/Moisturizers
Charlotte-Tilbury,Charlottes-Magic-Cream,3.2,"According to her website: Water (Aqua), Homosalate , Glyceryl Stearate SE, Ethylhexyl Salicylate, Butylene Glycol, Glycerin, Butyl Methoxydibenzoylmethane, Octocrylene, Cetyl Alcohol, C12-15 Alkyl Benzoate, Cyclopentasiloxane, Dimethicone, Phenoxyethanol, Butyrospermum Parkii (Shea) Butter, Steareth-21, Avena Sativa (Oat) Kernel Extract, Carbomer, Dimethiconol, Potassium Cetyl Phosphate, Chlorphenesin, Caprylyl Glycol, Xanthan Gum, Hydrolyzed Viola Tricolor Extract, Allantoin, Aloe Barbadensis Leaf Juice, Disodium Edta, Tocopheryl Acetate, Camellia Oleifera Seed Oil, Rosa Canina Fruit Oil, Rosa Damascena Flower Water, Sodium Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Michelia Alba Leaf Oil, Sodium Lactate, Coco-Glucoside, PEG-8, Ethylhexylglycerin, Sodium Hyaluronate, Tocopherol, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7, Ascorbyl Palmitate, Plumeria Rubra Flower Extract, Ascorbic Acid, Citric Acid, Nicotiana Sylvestris Leaf Cell Culture, Linalool, Citronellol, Geraniol, plus a little bit of top secret magic...",https://www.makeupalley.com/product/showreview.asp/ItemId=170391/Charlottes-Magic-Cream/Charlotte-Tilbury/Moisturizers
Embryolisse,Lait-Creme-Concentre-(24-Hour-Miracle-Cream),3.8,"Aqua, Paraffinum Liquidum, Stearic Acid, Glyceryl Stearate, Triethanolamine, Cera Alba, Cetyl Palmitate, Butyrospermum Parkii, Steareth-10, Polyacrylamide C13-14 Isoparaffin, Laureth-7, Propylene Glycol, Hydrolyzed Soy Protein, Aloe Barbadensis, 1,2-Hexanediol, Caprylyl Glycol, Tropolone, Parfum.****************************WATER . PARAFFINUM LIQUIDUM . STEARIC ACID . PALMITIC ACID . GLYCERYL STEARATE SE . TRIETHANOLAMINE . BEESWAX . CETYL PALMITATE . SHEA BUTTER . 1,2-HEXANEDIOL . CAPRYLYL GLYCOL . STEARETH-10 . POLYACRYLAMIDE . C13-14 ISOPARAFFIN . FRAGRANCE . LAURETH-7 . PROPYLENE GLYCOL . TROPOLONE . HYDROLYZED SOY PROTEIN . ALOE BARBADENSIS LEAF EXTRACT",https://www.makeupalley.com/product/showreview.asp/ItemId=93435/Lait-Creme-Concentre-(24-Hour-Miracle-Cream)/Embryolisse/Moisturizers
Benton,Aloe-Propolis-Soothing-Gel,4.5,2017: â€¢Aqua / Waterâ€¢Dimethiconeâ€¢Glycerinâ€¢Propylene Glycolâ€¢Ethylhexyl Palmitateâ€¢Squalaneâ€¢Niacinamideâ€¢Caprylic/Capric Triglycerideâ€¢Butyrospermum Parkii Butter / Shea Butterâ€¢Peg-100 Stearateâ€¢Glyceryl Stearateâ€¢Peg-20 Stearateâ€¢Carbomerâ€¢Triethanolamineâ€¢Dimethicone/Vinyl Dimethicone Crosspolymerâ€¢Myristyl Malate Phosphonic Acidâ€¢Ammonium Polyacryldimethyltauramide / â€¢Ammonium Polyacryloyldimethyl Taurateâ€¢Hydroxypalmitoyl Sphinganineâ€¢Caprylyl Glycolâ€¢Tetrasodium Edtaâ€¢Xanthan Gumâ€¢Cetyl Alcoholâ€¢Tocopherolâ€¢Phenoxyethanolâ€¢Parfum / Fragrance********* Previous Ingredients: AQUA / WATER SQUALANE GLYCERIN CYCLOHEXASILOXANE PROPYLENE GLYCOL BUTYROSPERMUM PARKII / SHEA BUTTER CAPRYLIC/CAPRIC TRIGLYCERIDE PEG-100 STEARATE GLYCERYL STEARATE PEG-20 STEARATE BISABOLOL TEA-CARBOMER AMMONIUM POLYACRYLOYLDIMETHYL TAURATE DISODIUM EDTA HYDROXYPALMITOYL SPHINGANINE TETRASODIUM EDTA XANTHAN GUM CETYL ALCOHOL STEARYL ALCOHOL MYRISTYL ALCOHOL T-BUTYL ALCOHOL CITRIC ACID TOCOPHEROL SODIUM BENZOATE PHENOXYETHANOL METHYLPARABEN PROPYLPARABEN PARFUM / FRAGRANCE,https://www.makeupalley.com/product/showreview.asp/ItemId=188902/Aloe-Propolis-Soothing-Gel/Benton/Skincare---Face
La-Roche-Posay,Effaclar-H-Compensating-Soothing-Moisturizer,3.5,"Water, Saccharomyces/Camellia Sinensis Leaf/Cladosiphon Okamuranus/Rice Ferment Filtrate*, Glycerin, Propanediol, Dimethicone, Squalane, Diisostearyl Malate, Behenyl Alcohol, Myristyl Myristate, Dipentaerythrityl Hexahydroxystearate, Bis-Diglyceryl Polyacyladipate-2, Tridecyl Trimellitate, Chondrus Crispus Extract, Betaphycus Gelatinum Extract, Eisenia Arborea Extract, Oryza Sativa (Rice) Bran Extract, Panax Ginseng Root Extract, Origanum Majorana Leaf Extract, Thymus Serpyllum Extract, Malva Sylvestris (Mallow) Flower Extract, Sodium Hyaluronate, Inositol, Gold, Sericin, Phytosteryl Macadamiate, Butylene Glycol, Beheneth-20, Sorbitan Tristearate, Disodium Edta, Dimethicone/Vinyl Dimethicone Crosspolymer, Sodium Acrylate/Acryloyldimethyltaurate/Dimethylacrylamide Crosspolymer, Caprylyl/Capryl Glucoside, Sorbitan Isostearate, Ethylhexylglycerin, Parfum/Fragrance, Alcohol, Phenoxyethanol, Mica (Ci 77019), Titanium Dioxide (Ci 77891), Tin Oxide (Ci 77861), Violet 2 (Ci 60725). *Hadasei-3.",https://www.makeupalley.com/product/showreview.asp/ItemId=120319/Effaclar-H-Compensating-Soothing-Moisturizer/La-Roche-Posay/Moisturizers
TATCHA,The-Dewy-Skin-Cream,3.7,"Water, Squalane, PEG-100 Stearate, Glyceryl Stearate, Triethanolamine, Sorbitan Oleate, Imidazolidinyl Urea, Carbomer, Methylparaben, Stearic Acid, Cera Alba (Beeswax), Propylparaben, Myristyl Alcohol, Prunus Armeniaca (Apricot) Kernel Oil, Prunus Dulcis (Sweet Almond) Oil, Tocopheryl Acetate, Persea Gratissima (Avocado) Oil, Retinyl Palmitate",https://www.makeupalley.com/product/showreview.asp/ItemId=203090/The-Dewy-Skin-Cream/TATCHA/Moisturizers
HADA-LABO,Skin-Plumping-Gel-Cream,4.0,"water, hydroxyethyl urea, butylene glycol, glycerin, pentylene glycol, PEG/PPG/polybutylene glycol-8/5/3 glycerin, squalane, triethylhexanoin, ammonium acryloyldimethyltaurate/VP copolymer, agar, alpha-glucan, arginine, citric acid, dimethicone, dipropylene glycol, disodium EDTA, glucosyl ceramide, hydrolyzed collagen (marine), hydrolyzed hyaluronic acid, iodopropynyl butylcarbamate, methylisothiazolinone, sodium acetylated hyaluronate, sodium chloride, sodium citrate, sodium hyaluronate, triethyl citrate.",https://www.makeupalley.com/product/showreview.asp/ItemId=168186/Skin-Plumping-Gel-Cream/HADA-LABO/Moisturizers
CLINIQUE,Comfort-On-Call-DISCONTINUED,4.1,"Active ingredient: dimethicone 1.00% Ingredients: water\aqua\eau [] butylene glycol [] cetearyl alcohol [] petrolatum [] caprylic/capric triglyceride [] glycerin [] olea europaea (olive) fruit oil [] paraffin [] di-ppg-2 myreth-10 adipate [] glyceryl stearate [] coco-caprylate/caprate [] polyglyceryl-6 dioleate [] peg-100 stearate [] cucumis sativus (cucumber) fruit extract [] citrus jabara peel extract [] garcinia mangostana peel extract [] phyllanthus emblica fruit extract [] hordeum vulgare (barley) extract\extrait d'orge [] inonotus obliquus (mushroom) extract [] butyrospermum parkii (shea butter) [] sorbitol [] colloidal oatmeal [] helianthus annuus (sunflower) seedcake [] methyl glucose sesquistearate [] methyl glucose dioleate [] propylene glycol dicaprate [] lactobacillus ferment [] ceramide 2 [] trehalose [] hydrolyzed extensin [] 7-dehydrocholesterol [] beeswax\cera alba\cire d?abeille [] hydroxyapatite [] sodium hyaluronate [] hydrogenated lecithin [] 1,2-hexanediol [] glycyrrhetinic acid [] aminopropyl ascorbyl phosphate [] tocopheryl acetate [] caprylyl glycol [] zeolite [] ferulic acid [] cellulose [] xanthan gum [] silica [] disodium edta [] phenoxyethanol [] sodium dehydroacetate",https://www.makeupalley.com/product/showreview.asp/ItemId=112836/Comfort-On-Call-DISCONTINUED/CLINIQUE/Moisturizers
The-Body-Shop,Hemp-Face-Protector,3.9,"Water/Aqua/Eau, Glycerin, Dipropylene Glycol, Caprylic/Capric Triglyceride, Hydrogenated Poly(C6-14 Olefin), Hydrogenated Polydecene, Cetearyl Alcohol,1,2-Hexanediol, Dimethicone, Cyclomethicone, Vegetable Oil, Bifida Ferment Lysate, Glyceryl Stearate SE, Dimethiconol, Cyclopentasiloxane, Ulmus Davidiana Root Extract, Amaranthus Caudatus Seed Extract, Piper Methysticum Leaf/Root/Stem Extract, Beta Vulgaris (Beet) Root Extract, Algae Extract, Artemisia Vulgaris Extract, Portulaca Oleracea Extract, Pueraria Thunbergiana Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Paeonia Lactiflora Root Extract, Cnidium Officinale Root Extract, Hydrogenated Lecithin, Sodium Hyaluronate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Soluble Collagen, Pelargonium Graveolens Flower Oil, Aloe Barbadensis Leaf Juice, Salvia Officinalis (Sage) Oil, Pogostemon Cablin Oil, Cetearyl Glucoside, Cetearyl Olivate, Sorbitan Olivate, C12-16 Alcohols, Ceramide 3, Microcrystalline Cellulose, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate, Copolymer, Squalane, Glyceryl Stearate,Peg-100 Stearate, Hydrolyzed Corn Starch, Palmitic Acid, Coco-Caprylate/Caprate, Polysorbate 60, Caramel, Cellulose Gum, Propylene Glycol, Butylene Glycol, Disodium EDTA, Panthenol, Acacia Senegal Gum, Folic Acid, Acetic Acid, Cholesterol, Raffinose, Lactic Acid, Xanthan Gum, Tromethamine, Palmitoyl Pentapeptide-4",https://www.makeupalley.com/product/showreview.asp/ItemId=28714/Hemp-Face-Protector/The-Body-Shop/Moisturizers
